subject,context,objective_number,objective
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,1,"explain meaning conveyed through word choice and grammar, punctuation and paragraphing; CXC CXC"
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,2,"identify effective use of parts of speech word combinations, unusual turn of a phrase; CXC"
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,3,"identify facts and opinions, stated explicitly; (all)"
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,4,extract implied information; CXC
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,5,identify stated or implied time sequence
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,6,"extract specific information from what is read, heard or viewed"
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,7,recognise cause- effect relationships
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,8,"recognise different text structures; and, CXC"
English,SECTION 1.1: UNDERSTANDING — INFORMATIVE DISCOURSE,9,identify passages in which the main purpose is informative (expository) rather than literary or persuasive.
English,SECTION 1.2: ANALYSING — INFORMATIVE DISCOURSE,1,"use appropriate diction, grammatical forms and suitable punctuation and paragraphing to convey meaning with clarity and with facility; CXC"
English,SECTION 1.2: ANALYSING — INFORMATIVE DISCOURSE,2,use punctuation accurately to convey meaning with clarity and with facility
English,SECTION 1.2: ANALYSING — INFORMATIVE DISCOURSE,3,draw valid conclusions and inferences from information presented; (all) CXC
English,SECTION 1.2: ANALYSING — INFORMATIVE DISCOURSE,4,"trace the development of main and subordinate ideas; and, (all)"
English,SECTION 1.2: ANALYSING — INFORMATIVE DISCOURSE,5,distinguish between denotative and connotative language
English,SECTION 1.2: ANALYSING — INFORMATIVE DISCOURSE,6,"interpret tables and pictorial communication, such as diagrams, conventional signs and symbols."
English,SECTION 1.3: EVALUATING AND CREATING — INFORMATIVE DISCOURSE,1,create suitable paragraphs to convey meaning with clarity and with facility; CXC
English,SECTION 1.3: EVALUATING AND CREATING — INFORMATIVE DISCOURSE,2,"communicate in appropriate language factual information clearly, concisely and adequately in: (a) oral/ written instructions; (b) oral/ written reports; (c) summaries; and, (d) expositions. CXC CXC CXC"
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,1,"explain meaning conveyed through word choice and grammar, punctuation and paragraphing; CXC CXC"
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,2,"identify effective use of parts of speech, word combinations and unusual turn of a phase"
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,3,"identify facts and opinions, stated explicitly; (all)"
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,4,extract implied information; CXC
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,5,identify stated or implied time sequence; CXC
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,6,"extract specific information from what is read, heard or viewed"
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,7,identify the choice of narrative perspectives
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,8,"identify characteristics, form and structure of different literary genres"
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,9,identify the literary elements and structures in texts
English,SECTION 2.1: UNDERSTANDING — LITERARY DISCOURSE,10,"identify attitudes, mood and setting of a play. CXC"
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,1,"use appropriate diction, grammatical forms and suitable punctuation and paragraphing to convey meaning with clarity and with facility; CXC"
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,2,use punctuation accurately to convey meaning with clarity and with facility
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,3,draw valid conclusions and inferences from information presented; CXC
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,4,trace the development of main and subordinate ideas
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,5,"deduce reasons, motives and narrative choice of perspectives"
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,6,explain connotations in the use of words and in the presentation of ideas; CXC
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,7,distinguish between connotative and denotative meaning
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,8,discuss literary devices and techniques used in literary works
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,9,"explain the writer’s purpose, audience and context; CXC"
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,10,explain the significance of the literary elements and structures in texts
